Type,Rank,Short Name,Team ID,Team Abbreviation,Team Name,Team Short Name,League,League Name,League Short Name,Games Played,Games Started,Ground Outs,Air Outs,Runs,2B,3B,HR,SO,BB,IBB,Hits,HBP,Batting Average,AB,OBP,SLG,OPS,Caught Stealing,SB,Stolen Base %,GIDP,Total Pitches,ERA,Innings Pitched,Outs Pitched,Wins,Losses,Saves,Save Oppertunities,Holds,Blown Saves,Earned Runs,Whip,Batters Faced,Outs,Games Pitched,Complete Games,Shutouts,Balls,Strikes,SO%,Hits p/Batter,Balks,Wild Pitches,Total Bases,GO/Air Outs,RBI,Win%,Pitches/9,Games Finished,SO/BB,SO/9,BB/9,H/9,R/9,HR/9,Inherited Runners,Inherited Runners Scored,Catchers Interference,Sacrifice Bunts,Sacrifice Flies
team,16,LA Angels,108,LAA,Los Angeles Angels,Angels,AL,American League,American,162,0,530,644,298,98,7,72,549,272,24,488,39,.223,2186,.318,.373,.691,15,54,.783,64,9764,3.99,597.0,1791,29,23,35,53,65,18,265,1.27,2523,1791,162,0,0,3619,6145,.630,39,2,30,816,0.82,304,.558,16.36,162,2.02,8.28,4.10,7.36,4.49,1.09,213,73,1,9,16
team,17,NY Mets,121,NYM,New York Mets,Mets,NL,National League,National,161,0,471,478,284,86,8,62,648,251,7,452,40,.223,2024,.318,.366,.684,17,72,.809,38,9518,4.03,549.2,1649,39,28,39,64,97,25,246,1.28,2341,1649,161,0,0,3518,6000,.630,40,5,40,740,0.99,287,.582,17.32,161,2.58,10.61,4.11,7.40,4.65,1.02,214,73,1,6,19
team,18,Cincinnati,113,CIN,Cincinnati Reds,Reds,NL,National League,National,161,0,465,674,296,123,7,80,624,211,12,563,32,.244,2304,.314,.408,.722,12,56,.824,43,10028,4.09,602.2,1808,27,37,36,51,79,15,274,1.28,2569,1808,161,0,0,3522,6506,.650,32,2,20,940,0.69,318,.422,16.64,161,2.96,9.32,3.15,8.41,4.42,1.19,225,70,0,3,19
team,19,Minnesota,142,MIN,Minnesota Twins,Twins,AL,American League,American,161,0,544,559,301,97,12,60,627,213,14,525,39,.236,2220,.311,.372,.683,14,60,.811,26,9851,4.12,588.0,1764,35,31,43,62,88,19,269,1.26,2509,1764,161,0,0,3480,6371,.650,39,3,33,826,0.97,312,.530,16.75,161,2.94,9.60,3.26,8.04,4.61,0.92,203,84,2,8,27
team,20,Kansas City,118,KC,Kansas City Royals,Royals,AL,American League,American,160,0,516,531,261,108,7,49,463,196,14,490,25,.249,1969,.321,.385,.706,10,28,.737,35,8639,4.13,517.0,1551,26,26,41,64,76,23,237,1.33,2222,1551,160,0,0,3141,5498,.640,25,2,17,759,0.97,275,.500,16.71,160,2.36,8.06,3.41,8.53,4.54,0.85,220,62,1,8,23
team,21,Washington,120,WSH,Washington Nationals,Nationals,NL,National League,National,162,0,571,595,300,89,10,65,523,195,9,575,20,.257,2240,.319,.392,.711,13,69,.841,56,9531,4.14,582.0,1746,28,30,40,63,81,23,268,1.32,2480,1746,162,0,0,3301,6230,.650,20,2,28,879,0.96,318,.483,16.38,162,2.68,8.09,3.02,8.89,4.64,1.01,222,79,1,6,18
team,22,Miami,146,MIA,Miami Marlins,Marlins,NL,National League,National,161,0,605,653,341,117,20,58,655,242,17,589,38,.239,2465,.314,.373,.687,13,60,.822,48,10872,4.15,652.1,1957,35,33,33,60,82,27,301,1.27,2783,1957,161,0,0,3901,6971,.640,38,3,25,920,0.93,355,.515,16.67,161,2.71,9.04,3.34,8.13,4.70,0.80,253,94,1,14,23
team,23,Baltimore,110,BAL,Baltimore Orioles,Orioles,AL,American League,American,162,0,536,538,291,103,11,64,571,209,7,479,28,.228,2101,.304,.379,.683,10,46,.821,33,9212,4.22,560.2,1682,29,22,46,67,111,21,263,1.23,2361,1682,162,0,0,3342,5870,.640,28,3,26,796,1.00,305,.569,16.43,162,2.73,9.17,3.35,7.69,4.67,1.03,253,79,0,5,18
team,24,Boston,111,BOS,Boston Red Sox,Red Sox,AL,American League,American,161,0,569,654,357,108,6,80,582,208,24,616,26,.258,2383,.321,.410,.731,16,55,.775,34,9995,4.39,613.0,1839,34,30,40,71,87,31,299,1.34,2656,1839,161,0,0,3441,6554,.660,26,3,30,976,0.87,367,.531,16.31,161,2.80,8.54,3.05,9.04,5.24,1.17,229,79,1,7,31
team,25,Arizona,109,AZ,Arizona Diamondbacks,D-backs,NL,National League,National,162,0,622,609,330,135,14,75,564,234,26,610,28,.257,2376,.328,.420,.748,5,57,.919,49,10197,4.41,617.0,1851,35,30,38,64,87,26,302,1.37,2667,1851,162,0,0,3604,6593,.650,28,5,31,998,1.02,349,.538,16.53,162,2.41,8.23,3.41,8.90,4.81,1.09,218,85,0,6,23
team,26,Texas,140,TEX,Texas Rangers,Rangers,AL,American League,American,162,0,532,599,313,93,3,79,623,279,25,546,37,.241,2268,.330,.389,.719,9,74,.892,40,10545,4.41,604.0,1812,38,24,38,57,75,19,296,1.37,2618,1812,162,0,0,3900,6645,.630,37,5,36,882,0.89,336,.613,17.46,162,2.23,9.28,4.16,8.14,4.66,1.18,277,94,2,7,25
team,27,Pittsburgh,134,PIT,Pittsburgh Pirates,Pirates,NL,National League,National,161,0,498,621,329,110,9,55,587,257,14,548,49,.247,2220,.335,.379,.714,12,72,.857,36,9957,4.49,583.0,1749,33,33,43,72,87,29,291,1.38,2563,1749,161,0,0,3624,6333,.640,49,5,23,841,0.80,343,.500,17.08,161,2.28,9.06,3.97,8.46,5.08,0.85,206,70,3,8,26
team,28,Chi White Sox,145,CWS,Chicago White Sox,White Sox,AL,American League,American,162,0,546,661,386,110,7,82,656,338,22,636,31,.259,2456,.352,.410,.762,19,63,.768,46,11556,4.73,638.2,1916,15,49,21,58,64,37,336,1.53,2869,1916,162,0,0,4464,7092,.610,31,5,39,1006,0.83,394,.234,18.09,162,1.94,9.24,4.76,8.96,5.44,1.16,272,92,1,11,32
team,29,Toronto,141,TOR,Toronto Blue Jays,Blue Jays,AL,American League,American,159,0,556,589,331,109,5,92,502,228,22,529,24,.247,2142,.323,.431,.754,12,59,.831,50,9325,4.82,565.2,1697,23,27,36,59,85,23,303,1.34,2430,1697,159,0,0,3383,5942,.640,24,6,22,924,0.94,340,.460,16.48,159,2.20,7.99,3.63,8.42,5.27,1.46,245,77,1,8,27
team,30,Colorado,115,COL,Colorado Rockies,Rockies,NL,National League,National,162,0,616,577,389,115,13,80,527,273,12,659,30,.282,2341,.360,.444,.804,11,61,.847,66,10490,5.41,601.0,1803,34,28,37,65,61,28,361,1.55,2683,1803,162,0,0,3923,6567,.630,30,2,39,1040,1.07,398,.548,17.45,162,1.93,7.89,4.09,9.87,5.83,1.20,249,84,1,9,29
